Field Season,Species,Date Collection,Sex,Weight (g),Plot,Scale calibrated 
2013,DM,20130716,F,N/A,2,Y
2013,DM,20130716,M,33,7,Y
2013,DM,20130716,M,N/A,3,Y
2013,DM,20130716,M,N/A,1,Y
2013,DM,20130718,M,40,3,Y
2013,DM,20130718,M,48,7,Y
2013,DM,20130718,F,29,4,Y
2013,DM,20130718,F,37,6,Y
2013,DO,20130819,F,52,8,Y
2013,DO,20131017,F,33,3,Y
2013,DO,20131017,F,50,3,Y
2013,DO,20131217,F,40,9,Y
2013,DO,20131217,M,45,1,Y
2013,DO,20131211,F,41,8,Y
2013,DS,20131112,F,117,9,Y
2013,DS,20131113,F,126,11,Y
2013,DS,20131113,M,132,17,N
2013,DS,20131113,F,113,14,N
2013,DS,20131113,F,122,11,Y
2013,DS,20131113,F,107,4,Y
2013,DS,20131113,F,115,4,Y
2014,DM,20140109,M,40,1,Y
2014,DM,20140109,F,36,1,Y
2014,DM,20140313,F,51,1,Y
2014,DM,20140313,F,44,1,Y
2014,DS,20140313,F,146,1,Y
2014,NA,20140108,N/A,N/A,2,Y
2014,DM,20140108,M,44,2,Y
2014,PF,20140108,F,7,2,Y
2014,DM,20140108,M,45,2,Y
2014,OT,20140108,N/A,N/A,2,Y
2014,DS,20140108,M,157,2,N
2014,OX,20140108,N/A,N/A,2,Y
2014,NA,20140218,M,218,2,N
2014,PF,20140218,F,7,2,Y
2014,DM,20140218,M,52,2,Y
2014,PF,20140311,M,8,3,Y
2014,NA,20140408,F,N/A,3,Y
2014,N/A,20140506,N/A,N/A,3,Y
2014,NA,20140518,F,182,3,Y
2014,OT,20140609,F,29,3,Y
2014,NA,20140708,F,115,3,Y
2014,NA,20140708,M,190,3,Y
1978,DM,19780108,F,37,4,Y
1978,DM,19780108,M,N/A,4,Y
1978,DM,19780108,F,48,4,Y
1978,DO,19780108,M,52,4,Y
1978,OL,19780108,M,35,4,Y